name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Hideki Tojo (東條英機),1884-12-30,1948-12-23,Japanese,Prime Minister of Japan during WWII who authorized Pearl Harbor attack. Executed as war criminal for atrocities including treatment of POWs.,East Asia,Politics & Military,
Franklin D. Roosevelt,1882-01-30,1945-04-12,American,"US President through Great Depression and WWII. New Deal transformed American government, led Allies to brink of victory, died in office.",North America,Politics & Military,
Winston Churchill,1874-11-30,1965-01-24,British,"British Prime Minister who rallied Britain during WWII with stirring speeches. ""We shall never surrender"" - symbol of defiance against Nazi Germany.",Europe,Politics & Military,
Charles de Gaulle,1890-11-22,1970-11-09,French,"Led Free French during WWII, founded Fifth Republic. Towering figure who restored French pride and pursued independent foreign policy.",Europe,Politics & Military,
Francisco Franco,1892-12-04,1975-11-20,Spanish,"Fascist dictator who ruled Spain for 36 years after winning Civil War. Allied with Hitler and Mussolini, kept Spain neutral in WWII.",Europe,Politics & Military,
Harry S. Truman,1884-05-08,1972-12-26,American,"US President who dropped atomic bombs on Japan, began Cold War containment, and desegregated military. ""The buck stops here.""",North America,Politics & Military,
Dwight D. Eisenhower,1890-10-14,1969-03-28,American,"WWII Supreme Allied Commander then US President. Warned of ""military-industrial complex,"" presided over 1950s prosperity and Cold War tensions.",North America,Politics & Military,
John F. Kennedy,1917-05-29,1963-11-22,American,"Youngest elected US President whose assassination shocked world. Cuban Missile Crisis, space race, civil rights, inspiring rhetoric cut short.",North America,Politics & Military,
Lyndon B. Johnson,1908-08-27,1973-01-22,American,US President who passed landmark Civil Rights Act and Great Society programs. Legacy overshadowed by escalation of Vietnam War.,North America,Politics & Military,
Richard Nixon,1913-01-09,1994-04-22,American,"US President who opened relations with China, ended Vietnam War, but resigned in disgrace over Watergate scandal. Complex legacy.",North America,Politics & Military,
Ronald Reagan,1911-02-06,2004-06-05,American,"Conservative US President who challenged Soviet Union to ""tear down this wall."" Reaganomics, ended Cold War, transformed Republican Party.",North America,Politics & Military,
George H.W. Bush,1924-06-12,2018-11-30,American,"US President who oversaw end of Cold War and Gulf War. ""Thousand points of light,"" diplomatic skill, one-term presidency.",North America,Politics & Military,
Bill Clinton,1946-08-19,,American,"US President who presided over 1990s prosperity and tech boom. Impeached over Monica Lewinsky scandal but remained popular, skilled politician.",North America,Politics & Military,
George W. Bush,1946-07-06,,American,"US President defined by 9/11 response and Iraq War. Controversial legacy of War on Terror, financial crisis at end of presidency.",North America,Politics & Military,
Joe Biden,1942-11-20,,American,"Current US President, oldest ever elected. Long Senate career, Obama VP, defeated Trump, focused on infrastructure and climate.",North America,Politics & Military,
Nikita Khrushchev,1894-04-15,1971-09-11,Soviet,"Soviet leader who denounced Stalin, Cuban Missile Crisis, built Berlin Wall. ""We will bury you"" but pursued peaceful coexistence.",Europe,Politics & Military,
Leonid Brezhnev,1906-12-19,1982-11-10,Soviet,"Soviet leader during period of stagnation. Invaded Czechoslovakia and Afghanistan, presided over nuclear parity with US.",Europe,Politics & Military,
Boris Yeltsin,1931-02-01,2007-04-23,Russian,"First president of post-Soviet Russia. Dissolved USSR, introduced capitalism chaotically, defended White House against coup.",Europe,Politics & Military,
Josip Broz Tito,1892-05-07,1980-05-04,Yugoslav,"Communist leader who kept Yugoslavia independent from Soviet Union. Held multi-ethnic country together, non-aligned movement leader.",Europe,Politics & Military,
Jawaharlal Nehru,1889-11-14,1964-05-27,Indian,"First Prime Minister of independent India. Architect of non-aligned movement, secular democracy, socialist economic policies.",South Asia,Politics & Military,
Indira Gandhi,1917-11-19,1984-10-31,Indian,"First female Prime Minister of India, daughter of Nehru. Strong leader who declared emergency, assassinated by Sikh bodyguards.",South Asia,Politics & Military,
Benazir Bhutto,1953-06-21,2007-12-27,Pakistani,"First female Prime Minister of Muslim-majority country. Charismatic leader from prominent family, assassinated while campaigning.",South Asia,Politics & Military,
