eventName,eventDate,eventEndDate,description,category,region,significance
American Civil War,1861-04-12,1865-04-09,Civil war between the Union (North) and Confederacy (South) over slavery and states' rights.,War & Conflict,North America,Abolished slavery; strengthened federal authority.
American Revolution,1775-04-19,1783-09-03,Thirteen British colonies in North America fought for independence.,War & Conflict,North America,Birth of the United States; inspired global independence movements.
British Raj Begins,1858-08-02,,British Crown took direct control of India after the 1857 Rebellion.,Politics & Society,South Asia,Formalized British colonial rule in India (until 1947).
Cadbury Chocolate Shop Opens,1824-01-01,,"John Cadbury opened a shop selling drinking chocolate, founding the Cadbury company.",Economy & Trade,Europe,Launched one of the world's most iconic confectionery brands.
Darwin's HMS Beagle Voyage,1831-12-27,1836-10-02,"Darwin's voyage aboard HMS Beagle, inspiring his evolutionary theories.",Science & Invention,Global,Collected data leading to the theory of evolution.
Discovery of America,1492-10-12,,"Christopher Columbus's first voyage landed in the Americas (most likely the Bahamas), marking a major turning point in world history.",Exploration,Global,This event initiated European exploration and colonization in the Americas.
Emancipation Proclamation,1863-01-01,,Lincoln declared all enslaved people in Confederate states 'forever free'.,Politics & Society,North America,Pivotal in abolishing slavery; shifted Civil War's purpose.
End of World War I (Armistice Day),1918-11-11,,End of World War I marked a turning point in global politics.,War & Conflict,Europe,Marked the end of a devastating war and reshaped international relations.
First Electric Motor,1832-01-01,,"William Sturgeon built the first practical electric motor, demonstrating electromagnetism.",Science & Invention,Europe,Laid groundwork for electric industrialization.
First Opium War,1839-11-03,1842-08-29,Conflicts between China and Britain over opium trade and sovereignty.,War & Conflict,East Asia,Forced China to open ports; began 'Century of Humiliation'.
First Stock Exchange (Amsterdam),1602-01-01,,World's first stock exchange established by the Dutch East India Company in Amsterdam.,Economy & Trade,Europe,Created modern stock trading; enabled shareholder capitalism.
Founding of Modern Singapore,1819-01-29,,British East India Company established Singapore as a trading post.,Politics & Society,Southeast Asia,Became a key global trade hub; remains a financial center.
Founding of the Dutch East India Company,1602-03-20,,"Dutch East India Company (VOC) founded, becoming the world's first multinational corporation.",Economy & Trade,Europe,Pioneered modern corporate structure and global trade.
French Revolution,1789-07-14,1799-11-09,"Overthrow of the French monarchy, leading to republicanism and Napoleon's rise.",Politics & Society,Europe,Spread democratic ideals; destabilized European monarchies.
Great Exhibition of 1851,1851-05-01,1851-10-15,The Great Exhibition showcased global industrial innovations in London's Crystal Palace.,Arts & Culture,Europe,First World's Fair; symbolized British industrial dominance.
Industrial Revolution,1760-01-01,1840-12-01,"Transition to industrialized economies, starting in Britain with mechanized production and steam power.",Economy & Trade,Europe,Transformed global economies; spurred urbanization and imperialism.
Invention of Hot Air Balloon,1783-11-21,,Montgolfier brothers launched the first manned hot-air balloon flight in Paris.,Science & Invention,Europe,Marked the birth of human flight; inspired aviation development.
Invention of Marine Chronometer,1761-01-01,,"John Harrison invented the marine chronometer, solving longitude measurement at sea.",Science & Invention,Europe,Revolutionized naval navigation; enabled precise global exploration.
Irish Famine of 1740,1740-01-01,1741-12-31,Extreme weather and crop failures caused mass starvation in Ireland.,Disaster & Pandemic,Europe,"Killed 300,000+; led to early Irish emigration."
Les Misérables Published,1862-01-01,,Victor Hugo published his epic novel about social injustice in France.,Arts & Culture,Europe,Classic of world literature; influenced social reforms.
London Underground Opens,1863-01-10,,World's first underground railway opened between Paddington and Farringdon.,Economy & Trade,Europe,Pioneered urban rapid transit; model for subway systems.
Maxwell's Electromagnetic Theory,1861-01-01,,James Clerk Maxwell formulated equations unifying electricity and magnetism.,Science & Invention,Europe,"Laid foundation for modern physics (e.g., radio, light waves)."
Meiji Restoration,1868-01-03,1912-01-03,Overthrow of the Tokugawa shogunate; modernization of Japan under Emperor Meiji.,Politics & Society,East Asia,Japan industrialized rapidly; became a global power.
Napoleon Crowned Emperor,1804-12-02,,"Napoleon Bonaparte crowned himself Emperor, consolidating power in France.",Politics & Society,Europe,Marked peak of French imperial ambitions; spread Napoleonic Code.
Napoleonic Wars,1803-05-18,1815-06-18,"Napoleon Bonaparte's campaigns to dominate Europe, countered by coalitions.",War & Conflict,Europe,Reshaped European borders; spread nationalism.
New Zealand Founded,1840-02-06,,New Zealand became a British colony with the signing of the Treaty of Waitangi.,Politics & Society,Oceania,Established British sovereignty; began Maori land dispossession.
NYSE Founded,1817-03-08,,New York Stock & Exchange Board founded on Wall Street.,Economy & Trade,North America,Became the world's largest stock exchange; symbol of American capitalism.
On the Origin of Species Published,1859-11-24,,Charles Darwin published his theory of evolution by natural selection.,Science & Invention,Europe,Revolutionized biology; foundational for modern genetics.
Perry Expedition Opens Japan,1853-07-08,,U.S. Navy forced Japan to open trade after 200+ years of isolation.,Politics & Society,East Asia,Started Japan's modernization (Meiji Restoration).
Publication of Frankenstein,1818-01-01,,"Mary Shelley published the first science fiction novel, 'Frankenstein; or, The Modern Prometheus'.",Arts & Culture,Europe,Founded the sci-fi genre; explored ethics of scientific creation.
Rebellions of 1837 in Canada,1837-12-01,1838-12-01,Anti-colonial uprisings in Upper and Lower Canada against British rule.,Politics & Society,North America,Spurred democratic reforms; led to Canadian Confederation debates.
Scramble for Africa,1884-11-15,1885-02-26,European powers partitioned Africa into colonies during the Berlin Conference.,Politics & Society,Africa,Exploited African resources; imposed unstable borders.
Second Opium War,1856-10-08,1860-10-18,Second conflict expanding foreign control over Chinese trade and territory.,War & Conflict,East Asia,Further weakened Qing dynasty; legalized opium trade.
Seven Years' War,1756-05-17,1763-02-10,"Global war involving Britain, France, Prussia, Austria, and others, fought in Europe, Americas, and Asia.",War & Conflict,Global,Britain became the dominant colonial power; France lost Canada.
Slavery Abolition Act 1833,1833-08-28,,British Parliament abolished slavery in most of the British Empire.,Politics & Society,Global,"Freed 800,000+ enslaved people; compensated slave owners."
Suez Canal Opens,1869-11-17,,"Artificial waterway connecting the Mediterranean and Red Sea, boosting global trade.",Economy & Trade,Africa,Reduced travel time between Europe and Asia; enhanced trade.
Taiping Rebellion,1850-01-11,1864-07-19,Massive civil war in China led by Hong Xiuquan against the Qing dynasty.,War & Conflict,East Asia,20-30 million deaths; bloodiest conflict of the 19th century.
Telegraphy Patented,1837-01-01,,"Samuel Morse patented the electric telegraph, revolutionizing long-distance communication.",Science & Invention,North America,Enabled instant communication; precursor to modern telecom.
The Raft of the Medusa Painted,1819-01-01,,Théodore Géricault completed his monumental painting depicting a shipwreck scandal.,Arts & Culture,Europe,Pioneered Romanticism; critiqued government incompetence.
Treaty of Nanking,1842-08-29,,Treaty ending the First Opium War; ceded Hong Kong to Britain.,Politics & Society,East Asia,Marked start of British colonial rule in Hong Kong (until 1997).
War of 1812,1812-06-18,1815-02-18,Conflict between the U.S. and Britain over trade restrictions and territorial disputes.,War & Conflict,North America,Confirmed U.S. independence; inspired 'The Star-Spangled Banner'.
First Powered Flight,1903-12-17,,"Orville and Wilbur Wright achieved the first sustained powered airplane flight at Kitty Hawk, North Carolina.",Exploration,North America,Launched the aviation age; transformed travel and warfare within decades.
Theory of General Relativity,1915-11-25,,"Albert Einstein presented his general theory of relativity to the Prussian Academy of Sciences, describing gravity as the curvature of spacetime.",Science & Invention,Europe,Revolutionised physics and cosmology; foundation for GPS technology, black hole research and gravitational wave detection.
