name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Steve Jobs,1955-02-24,2011-10-05,American,"Co-founder of Apple Inc. who revolutionized personal computing, smartphones, and digital media. The iPhone transformed global communication and technology.",North America,Economy,
Bill Gates,1955-10-28,,American,Co-founder of Microsoft who dominated personal computer software revolution. Later became major philanthropist through Gates Foundation focusing on global health.,North America,Economy,
Elon Musk,1971-06-28,,South African-American,"Entrepreneur who founded/leads Tesla, SpaceX, and other ventures. Pioneered electric vehicles and private space exploration, controversial social media presence.",North America,Economy,
Jeff Bezos,1964-01-12,,American,"Founded Amazon, transforming retail and cloud computing. Became world's wealthiest person; also founded Blue Origin space company.",North America,Economy,
Mark Zuckerberg,1984-05-14,,American,"Founded Facebook (Meta), creating world's largest social network connecting billions. Controversies over privacy, misinformation, and social impact.",North America,Economy,
Jack Ma (馬雲),1964-09-10,,Chinese,"Founded Alibaba, China's e-commerce giant. Became symbol of Chinese entrepreneurship before running afoul of government and retreating from public life.",East Asia,Economy,
Larry Page,1973-03-26,,American,"Co-founded Google with Sergey Brin, creating world's dominant search engine and reshaping how humanity accesses information.",North America,Economy,
Sergey Brin,1973-08-21,,Russian-American,"Co-founded Google with Larry Page. Born in Soviet Union, immigrated to US, helped create technologies that transformed the internet.",North America,Economy,
Barack Obama,1961-08-04,,American,"First African-American US President (2009-2017). Passed Affordable Care Act, navigated 2008 financial crisis, authorized operation that killed Osama bin Laden.",North America,Politics & Military,
Donald Trump,1946-06-14,,American,"US President (2017-2021), businessman and media personality. Controversial presidency marked by trade wars, immigration policies, and two impeachments.",North America,Politics & Military,
Angela Merkel,1954-07-17,,German,"German Chancellor (2005-2021), longest-serving leader in modern European history. Led through eurozone crisis and refugee crisis, symbol of European stability.",Europe,Politics & Military,
Margaret Thatcher,1925-10-13,2013-04-08,British,"First female British Prime Minister (1979-1990). Conservative leader who privatized industries, broke union power, and worked with Reagan to end Cold War.",Europe,Politics & Military,
Tony Blair,1953-05-06,,British,British Prime Minister (1997-2007) who modernized Labour Party. Legacy complicated by Iraq War involvement alongside George W. Bush.,Europe,Politics & Military,
Emmanuel Macron,1977-12-21,,French,"French President (2017-present), youngest since Napoleon. Centrist reformer facing challenges from both left and right populism.",Europe,Politics & Military,
Vladimir Putin,1952-10-07,,Russian,"Russian President/Prime Minister since 1999. Consolidated authoritarian control, annexed Crimea, invaded Ukraine, reasserted Russian power globally.",Europe,Politics & Military,
Xi Jinping (習近平),1953-06-15,,Chinese,"Chinese President (2012-present) who consolidated power, eliminated term limits, intensified surveillance state, and pursued aggressive foreign policy.",East Asia,Politics & Military,
Recep Tayyip Erdogan,1954-02-26,,Turkish,"Turkish President who transformed Turkey from parliamentary to presidential system. Increasingly authoritarian, expanded Turkish regional influence.",Middle East,Politics & Military,
Narendra Modi,1950-09-17,,Indian,Indian Prime Minister (2014-present) who promoted Hindu nationalism and economic development. Controversial for religious tensions and democratic backsliding concerns.,South Asia,Politics & Military,
Benjamin Netanyahu,1949-10-21,,Israeli,"Longest-serving Israeli Prime Minister. Dominated Israeli politics for decades, hardline on Palestinians, strengthened ties with Arab states.",Middle East,Politics & Military,
