name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Confucius (孔子),-551-09-28,-479-04-11,Chinese,"Founder of Confucianism whose teachings on ethics, family, and governance shaped East Asian civilization for millennia. His Analects became foundation of Chinese education.",East Asia,Philosophy,
Laozi (老子),-571-01-01,-471-01-01,Chinese,Legendary founder of Taoism and author of the Tao Te Ching; his philosophy of natural harmony and non-action profoundly influenced Chinese thought.,East Asia,Philosophy,
Sun Tzu (孫子),-544-01-01,-496-01-01,Chinese,"Military strategist and author of The Art of War, the most influential military treatise in history, widely applied to strategy, business, and leadership.",East Asia,Politics & Military,
Mozi (墨子),-470-01-01,-391-01-01,Chinese,"Philosopher who founded Mohism emphasizing universal love, meritocracy, and frugality; challenged Confucian thought during Warring States period.",East Asia,Philosophy,
Mencius (孟子),-372-01-01,-289-01-01,Chinese,Confucian philosopher who argued human nature is inherently good; second only to Confucius in influence on Confucian thought.,East Asia,Philosophy,
Zhuangzi (莊子),-369-01-01,-286-01-01,Chinese,"Taoist philosopher whose poetic and paradoxical writings on freedom, relativity, and spontaneity became foundational Taoist texts.",East Asia,Philosophy,
Xunzi (荀子),-310-01-01,-235-01-01,Chinese,Confucian philosopher who argued human nature is inherently selfish and requires education and ritual; teacher of Han Feizi and Li Si.,East Asia,Philosophy,
Han Feizi (韓非子),-280-01-01,-233-01-01,Chinese,Legalist philosopher whose writings on autocratic rule and law influenced Qin Shi Huang; emphasized strict laws and harsh punishments.,East Asia,Philosophy,
Shang Yang (商鞅),-390-01-01,-338-01-01,Chinese,"Qin statesman whose Legalist reforms strengthened the state through agriculture, military, and centralized control, laying groundwork for Qin unification.",East Asia,Politics & Military,
Bai Qi (白起),-332-01-01,-257-01-01,Chinese,"Qin general known as the Human Butcher; won over 70 battles and killed hundreds of thousands, key to Qin military dominance.",East Asia,Politics & Military,
Lord Mengchang (孟嘗君),-314-01-01,-279-01-01,Chinese,Influential nobleman of Qi state famous for his network of retainers and political maneuvering during Warring States period.,East Asia,Politics & Military,
Qin Shi Huang (秦始皇),-259-02-18,-210-09-10,Chinese,"First Emperor of unified China who standardized writing, currency, and measurements; built Great Wall and Terracotta Army; burned books and buried scholars.",East Asia,Politics & Military,
Li Si (李斯),-280-01-01,-208-09-01,Chinese,"Qin chancellor who implemented Legalist policies, standardized script, and assisted Qin unification; later executed during court intrigue.",East Asia,Politics & Military,
Liu Bang (劉邦),-256-01-01,-195-06-01,Chinese,Peasant who overthrew Qin and founded Han Dynasty as Emperor Gaozu; established 400-year dynasty that defined Chinese culture.,East Asia,Politics & Military,
