name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Pythagoras,-570-01-01,-495-01-01,Greek,"Philosopher and mathematician who founded the Pythagorean school; contributions to mathematics, music theory, and philosophy. His theorem remains fundamental to geometry.",Europe,Philosophy,
Heraclitus,-535-01-01,-475-01-01,Greek,Pre-Socratic philosopher known for his doctrine of change and the concept of Logos; famous for the statement that one cannot step into the same river twice.,Europe,Philosophy,
Parmenides,-515-01-01,-450-01-01,Greek,Pre-Socratic philosopher who argued that reality is unchanging and that change is illusory; founder of the Eleatic school.,Europe,Philosophy,
Socrates,-470-01-01,-399-01-01,Greek,Athenian philosopher who laid foundations of Western philosophy through his Socratic method; never wrote but known through Plato's dialogues. Executed by hemlock for impiety.,Europe,Philosophy,
Hippocrates,-460-01-01,-370-01-01,Greek,Father of Medicine who established medicine as a profession distinct from philosophy and religion; the Hippocratic Oath bears his name.,Europe,Science,
Democritus,-460-01-01,-370-01-01,Greek,"Pre-Socratic philosopher who developed atomic theory, proposing that all matter consists of indivisible atoms moving through void.",Europe,Philosophy,
Thucydides,-460-01-01,-400-01-01,Greek,Athenian historian whose History of the Peloponnesian War set standards for historical scholarship with critical analysis and evidence-based writing.,Europe,Literature,
Plato,-428-01-01,-348-01-01,Greek,Student of Socrates and teacher of Aristotle; founded the Academy in Athens. His dialogues and theory of Forms profoundly shaped Western philosophy.,Europe,Philosophy,
Aristotle,-384-01-01,-322-01-01,Greek,"Student of Plato and tutor of Alexander the Great; his works on logic, metaphysics, ethics, politics, and natural sciences dominated Western thought for millennia.",Europe,Philosophy,
Demosthenes,-384-01-01,-322-01-01,Greek,Greatest Athenian orator whose speeches against Philip II of Macedon exemplified classical rhetoric and Athenian resistance to Macedonian expansion.,Europe,Literature,
Euclid,-325-01-01,-265-01-01,Greek,Mathematician whose Elements became the most influential textbook in history; systematized geometry and established rigorous mathematical proof.,Europe,Science,
Archimedes,-287-01-01,-212-01-01,Greek,"Mathematician, physicist, and engineer who discovered principles of buoyancy and leverage; invented war machines to defend Syracuse. Killed during Roman siege.",Europe,Science,
Eratosthenes,-276-01-01,-194-01-01,Greek,"Polymath who calculated Earth's circumference with remarkable accuracy; coined the term ""geography"" and created early world maps.",Europe,Science,
Leonidas I,-540-01-01,-480-08-11,Greek,"Spartan king who led 300 Spartans in heroic last stand at Thermopylae against Persian forces, becoming symbol of courage and sacrifice.",Europe,Politics & Military,
Pericles,-495-01-01,-429-01-01,Greek,"Athenian statesman during the Golden Age; promoted democracy, arts, and architecture including the Parthenon. His funeral oration exemplifies democratic ideals.",Europe,Politics & Military,
Alexander the Great,-356-07-20,-323-06-10,Greek,"King of Macedon who created one of history's largest empires, spreading Hellenistic culture from Greece to India. Never lost a battle.",Europe,Politics & Military,
Philip II of Macedon,-382-01-01,-336-01-01,Greek,Father of Alexander the Great; transformed Macedon into the dominant Greek power through military innovation and diplomatic skill.,Europe,Politics & Military,
Cyrus the Great,-600-01-01,-530-01-01,Persian,"Founder of the Achaemenid Persian Empire; known for religious tolerance and the Cyrus Cylinder, earliest declaration of human rights.",Middle East,Politics & Military,
